pais;codigo_do_pais;nome_do_pais;descricao;loc_cod;UF;RA;ra_desc;RG;rg_desc;RM;rm_desc
400;9800400;Jordânia;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
404;9800404;Quênia;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
408;9800408;Coréia do Norte;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
410;9800410;Coréia do Sul;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
414;9800414;Kuwait;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
417;9800417;Quirguistão;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
418;9800418;Laos;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
422;9800422;Líbano;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
426;9800426;Lesoto;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
428;9800428;Letônia;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
430;9800430;Libéria;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
434;9800434;Líbia;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
438;9800438;Liechtenstein;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
440;9800440;Lituânia;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
442;9800442;Luxemburgo;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
446;9800446;China, Macao;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
450;9800450;Madagáscar;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
454;9800454;Malauí;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
458;9800458;Malásia;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
462;9800462;Maldivas;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
466;9800466;Mali;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
470;9800470;Malta;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
474;9800474;Martinica;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
478;9800478;Mauritânia;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
480;9800480;Maurício;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
484;9800484;México;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
492;9800492;Mônaco;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
496;9800496;Mongólia;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
498;9800498;Moldávia;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
499;9800499;Montenegro;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
500;9800500;Montserrat;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
504;9800504;Marrocos;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
508;9800508;Moçambique;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
512;9800512;Omã;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
516;9800516;Namíbia;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
520;9800520;Nauru;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
524;9800524;Nepal;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
528;9800528;Holanda;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
531;9800531;Curaçao;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
533;9800533;Aruba;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
534;9800534;Saint Martin (parte holandesa);Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
535;9800535;Bonaire, Santo Eustáquio e Saba;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
540;9800540;Nova Caledônia;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
548;9800548;Vanuatu;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
554;9800554;Nova Zelândia;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
558;9800558;Nicarágua;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
562;9800562;Níger;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
566;9800566;Nigéria;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
570;9800570;Niue;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
574;9800574;Ilha Norfolk;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
578;9800578;Noruega;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
580;9800580;Ilhas Marianas;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
583;9800583;Micronésia;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
584;9800584;Ilhas Marshall;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
585;9800585;Palau;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
586;9800586;Paquistão;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
591;9800591;Panamá;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
598;9800598;Papua Nova Guiné;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
600;9800600;Paraguai;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
604;9800604;Peru;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
608;9800608;Filipinas;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
612;9800612;Pitcairn;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
616;9800616;Polônia;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
620;9800620;Portugal;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
624;9800624;Guiné-Bissau;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
626;9800626;Timor Leste;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
630;9800630;Porto Rico;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
634;9800634;Catar;Estrangeiro;;98;999;Outros países;999;Outros países;999;Outros países
